Date,Open,High,Low,Close,Volume,hour_change,24hr_change
11/11/2015 17:00,307.99,313,307.99,308.92,185.9396368,0.301,6.932
11/11/2015 16:00,307.59,310.34,304.8,307.99,7.07148,0.13,7.062
11/11/2015 15:00,314,314,303.2,307.59,118.1927136,-2.084,3.467
11/11/2015 14:00,323.9,323.9,311.72,314,102.92,-3.153,0.314
11/11/2015 13:00,326.61,326.61,323.9,323.9,1,-0.837,-0.83
11/11/2015 12:00,326.61,326.61,326.61,326.61,0,0,1.939
11/11/2015 11:00,326.61,326.61,326.61,326.61,0,0,0.577
11/11/2015 10:00,323.48,326.63,323.48,326.61,19.99341722,0.958,5.742
11/11/2015 9:00,322,323.48,322,323.48,8.036288806,0.458,6.634
11/11/2015 8:00,311.2,322,311.2,322,6.00021697,3.354,6.673
11/11/2015 7:00,314.2,314.2,310.49,311.2,0.068754669,-0.964,5.298
11/11/2015 6:00,309.01,314.57,309.01,314.2,15.02,1.652,6.408
11/11/2015 5:00,314.08,314.08,309.01,309.01,34.30325609,-1.641,3.177
11/11/2015 4:00,311,327.85,311,314.08,50.35207631,0.981,2.853
11/11/2015 3:00,311,311,309.4,311,37.17989395,0,2.632
11/11/2015 2:00,327.86,327.86,303,311,44.44308859,-5.421,-3.427
11/11/2015 1:00,335.89,343.75,327.86,327.86,76.07723871,-2.449,-5.948
11/11/2015 0:00,336.46,341,335.89,335.89,58.28689995,-0.17,-7.135
11/10/2015 23:00,344.8,344.8,332.14,336.46,51.72376094,-2.479,-11.045
11/10/2015 22:00,331,344.8,326.31,344.8,123.7537488,4.002,-8.333
11/10/2015 21:00,346.93,350.01,330,331,50.83083902,-4.813,-11.839
11/10/2015 20:00,354,354,346.93,346.93,82.26872933,-2.038,-12.912
11/10/2015 19:00,353.5,354,350.89,354,22.12090119,0.141,-14.046
11/10/2015 18:00,352.36,354,350.77,353.5,11.21685997,0.322,-13.724
11/10/2015 17:00,358.18,358.91,352.36,352.36,11.27615602,-1.652,-15.402
11/10/2015 16:00,351.43,358.88,349.75,358.18,18.36326195,1.885,-13.818
11/10/2015 15:00,355.01,361.37,236,351.43,127.3719236,-1.019,-14.967
11/10/2015 14:00,376.46,376.46,355.01,355.01,2.70035141,-6.042,-18.925
11/10/2015 13:00,374.38,376.46,369.22,376.46,6.781284701,0.553,-15.219
11/10/2015 12:00,374.12,377.02,374.12,374.38,27.26506384,0.069,-14.313
11/10/2015 11:00,377.6,377.6,374.01,374.12,2.99645924,-0.93,-15.243
11/10/2015 10:00,377.72,378.54,374.89,377.6,0.21,-0.032,-15.275
11/10/2015 9:00,378.45,379.18,375.87,377.72,0.61,-0.193,-16.426
11/10/2015 8:00,379.66,379.66,376.59,378.45,33.42150782,-0.32,-17.204
11/10/2015 7:00,378,379.79,376.67,379.66,29.67972782,0.437,-20.121
11/10/2015 6:00,379.93,380.87,378,378,7.185515026,-0.511,-19.668
11/10/2015 5:00,377,383,377,379.93,25.27058838,0.771,-20.549
11/10/2015 4:00,377,377,376.19,377,33.66991919,0,-18.908
11/10/2015 3:00,376.99,377,376.97,377,50.49,0.003,-19.886
11/10/2015 2:00,370,376.99,370,376.99,9.02,1.854,-18.032
11/10/2015 1:00,370,370,370,370,0,0,-12.611
11/10/2015 0:00,377.1,378.7,370,370,13.6,-1.919,-12.081
11/9/2015 23:00,383,383,377.1,377.1,82.19283464,-1.565,-13.476
11/9/2015 22:00,379.94,383,379.94,383,109.2927601,0.799,-10.198
11/9/2015 21:00,380,380,376.37,379.94,62.74687837,-0.016,-14.216
11/9/2015 20:00,382.87,382.87,377.53,380,47.253,-0.755,-10.158
11/9/2015 19:00,377.91,383.44,377.91,382.87,172.7454361,1.295,-6.825
